admin_unit_code,name,state,admin_level,census_state_code,census_district_code,has_deficit_data,match_method
IN-AP-adilabad,Adilabad,Andhra Pradesh,level-2,28,1,true,census_code
IN-UP-agra,Agra,Uttar Pradesh,level-2,9,15,true,census_code
IN-GJ-ahmadabad,Ahmadabad,Gujarat,level-2,24,7,true,census_code
IN-MH-ahmadnagar,Ahmadnagar,Maharashtra,level-2,27,26,true,census_code
IN-MZ-aizawl,Aizawl,Mizoram,level-2,15,3,true,census_code
IN-RJ-ajmer,Ajmer,Rajasthan,level-2,8,21,true,census_code
IN-MH-akola,Akola,Maharashtra,level-2,27,5,true,census_code
IN-KL-alappuzha,Alappuzha,Kerala,level-2,32,11,true,census_code
IN-UP-aligarh,Aligarh,Uttar Pradesh,level-2,9,12,true,census_code
IN-MP-alirajpur,Alirajpur,Madhya Pradesh,level-2,23,48,true,census_code
IN-UP-allahabad,Allahabad,Uttar Pradesh,level-2,9,44,true,census_code
IN-UT-almora,Almora,Uttarakhand,level-2,5,9,true,census_code
IN-RJ-alwar,Alwar,Rajasthan,level-2,8,6,true,census_code
IN-HR-ambala,Ambala,Haryana,level-2,6,2,true,census_code
IN-UP-ambedkar-nagar,Ambedkar Nagar,Uttar Pradesh,level-2,9,47,true,census_code
IN-MH-amravati,Amravati,Maharashtra,level-2,27,7,true,census_code
IN-GJ-amreli,Amreli,Gujarat,level-2,24,13,true,census_code
IN-PB-amritsar,Amritsar,Punjab,level-2,3,15,true,census_code
IN-GJ-anand,Anand,Gujarat,level-2,24,15,true,census_code
IN-AP-anantapur,Anantapur,Andhra Pradesh,level-2,28,12,true,exact_state_district
IN-JK-anantnag,Anantnag,Jammu & Kashmir,level-2,1,14,true,census_code
IN-AR-anjaw,Anjaw,Arunanchal Pradesh,level-2,12,16,true,census_code
IN-OR-anugul,Anugul,Odisha,level-2,21,15,true,census_code
IN-MP-anuppur,Anuppur,Madhya Pradesh,level-2,23,44,true,census_code
IN-BR-araria,Araria,Bihar,level-2,10,7,true,census_code
IN-TN-ariyalur,Ariyalur,Tamil Nadu,level-2,33,15,true,census_code
IN-MP-ashoknagar,Ashoknagar,Madhya Pradesh,level-2,23,42,true,census_code
IN-UP-auraiya,Auraiya,Uttar Pradesh,level-2,9,31,true,census_code
IN-BR-aurangabad,Aurangabad,Bihar,level-2,10,33,true,census_code
IN-MH-aurangabad,Aurangabad,Maharashtra,level-2,27,19,true,census_code
IN-UP-azamgarh,Azamgarh,Uttar Pradesh,level-2,9,60,true,census_code
IN-JK-badgam,Badgam,Jammu & Kashmir,level-2,1,2,true,census_code
IN-KA-bagalkot,Bagalkot,Karnataka,level-2,29,2,true,census_code
IN-UT-bageshwar,Bageshwar,Uttarakhand,level-2,5,8,true,census_code
IN-UP-baghpat,Baghpat,Uttar Pradesh,level-2,9,8,true,census_code
IN-UP-bahraich,Bahraich,Uttar Pradesh,level-2,9,49,true,census_code
IN-AS-baksa,Baksa,Assam,level-2,18,25,true,census_code
IN-MP-balaghat,Balaghat,Madhya Pradesh,level-2,23,40,true,census_code
IN-OR-balangir,Balangir,Odisha,level-2,21,24,true,census_code
IN-OR-baleshwar,Baleshwar,Odisha,level-2,21,8,true,census_code
IN-UP-ballia,Ballia,Uttar Pradesh,level-2,9,62,true,census_code
IN-UP-balrampur,Balrampur,Uttar Pradesh,level-2,9,51,true,census_code
IN-GJ-banas-kantha,Banas Kantha,Gujarat,level-2,24,2,true,census_code
IN-UP-banda,Banda,Uttar Pradesh,level-2,9,39,true,census_code
IN-JK-bandipore,Bandipore,Jammu & Kashmir,level-2,1,9,true,census_code
IN-KA-bangalore-rural,Bangalore Rural,Karnataka,level-2,29,29,true,census_code
IN-KA-bangalore,Bangalore,Karnataka,level-2,29,18,true,census_code
IN-BR-banka,Banka,Bihar,level-2,10,23,true,census_code
IN-WB-bankura,Bankura,West Bengal,level-2,19,13,true,census_code
IN-RJ-banswara,Banswara,Rajasthan,level-2,8,27,true,census_code
IN-UP-bara-banki,Bara Banki,Uttar Pradesh,level-2,9,45,true,census_code
IN-OR-bargarh,Bargarh,Odisha,level-2,21,1,true,census_code
IN-JK-baramula,Baramula,Jammu & Kashmir,level-2,1,8,true,census_code
IN-RJ-baran,Baran,Rajasthan,level-2,8,30,true,census_code
IN-WB-barddhaman,Barddhaman,West Bengal,level-2,19,9,true,census_code
IN-UP-bareilly,Bareilly,Uttar Pradesh,level-2,9,19,true,census_code
IN-RJ-barmer,Barmer,Rajasthan,level-2,8,17,true,census_code
IN-PB-barnala,Barnala,Punjab,level-2,3,20,true,census_code
IN-AS-barpeta,Barpeta,Assam,level-2,18,4,true,census_code
IN-MP-barwani,Barwani,Madhya Pradesh,level-2,23,24,true,census_code
IN-CT-bastar,Bastar,Chhattisgarh,level-2,22,15,true,census_code
IN-UP-basti,Basti,Uttar Pradesh,level-2,9,54,true,census_code
IN-PB-bathinda,Bathinda,Punjab,level-2,3,12,true,census_code
IN-OR-bauda,Bauda,Odisha,level-2,21,22,true,census_code
IN-BR-begusarai,Begusarai,Bihar,level-2,10,20,true,census_code
IN-KA-belgaum,Belgaum,Karnataka,level-2,29,1,true,census_code
IN-KA-bellary,Bellary,Karnataka,level-2,29,11,true,census_code
IN-MP-betul,Betul,Madhya Pradesh,level-2,23,30,true,census_code
IN-OR-bhadrak,Bhadrak,Odisha,level-2,21,9,true,census_code
IN-BR-bhagalpur,Bhagalpur,Bihar,level-2,10,22,true,census_code
IN-MH-bhandara,Bhandara,Maharashtra,level-2,27,10,true,census_code
IN-RJ-bharatpur,Bharatpur,Rajasthan,level-2,8,7,true,census_code
IN-GJ-bharuch,Bharuch,Gujarat,level-2,24,21,true,census_code
IN-GJ-bhavnagar,Bhavnagar,Gujarat,level-2,24,14,true,census_code
IN-RJ-bhilwara,Bhilwara,Rajasthan,level-2,8,24,true,census_code
IN-MP-bhind,Bhind,Madhya Pradesh,level-2,23,3,true,census_code
IN-HR-bhiwani,Bhiwani,Haryana,level-2,6,13,true,census_code
IN-BR-bhojpur,Bhojpur,Bihar,level-2,10,29,true,census_code
IN-MP-bhopal,Bhopal,Madhya Pradesh,level-2,23,27,true,census_code
IN-MH-bid,Bid,Maharashtra,level-2,27,27,true,census_code
IN-KA-bidar,Bidar,Karnataka,level-2,29,4,true,census_code
IN-CT-bijapur,Bijapur,Chhattisgarh,level-2,22,18,true,census_code
IN-KA-bijapur,Bijapur,Karnataka,level-2,29,3,true,census_code
IN-UP-bijnor,Bijnor,Uttar Pradesh,level-2,9,3,true,census_code
IN-RJ-bikaner,Bikaner,Rajasthan,level-2,8,3,true,census_code
IN-CT-bilaspur,Bilaspur,Chhattisgarh,level-2,22,7,true,census_code
IN-HP-bilaspur,Bilaspur,Himachal Pradesh,level-2,2,8,true,census_code
IN-WB-birbhum,Birbhum,West Bengal,level-2,19,8,true,census_code
IN-MN-bishnupur,Bishnupur,Manipur,level-2,14,4,true,census_code
IN-JH-bokaro,Bokaro,Jharkhand,level-2,20,10,true,census_code
IN-AS-bongaigaon,Bongaigaon,Assam,level-2,18,20,true,census_code
IN-UP-budaun,Budaun,Uttar Pradesh,level-2,9,18,true,census_code
IN-UP-bulandshahr,Bulandshahr,Uttar Pradesh,level-2,9,11,true,census_code
IN-MH-buldana,Buldana,Maharashtra,level-2,27,4,true,census_code
IN-RJ-bundi,Bundi,Rajasthan,level-2,8,23,true,census_code
IN-MP-burhanpur,Burhanpur,Madhya Pradesh,level-2,23,50,true,census_code
IN-BR-buxar,Buxar,Bihar,level-2,10,30,true,census_code
IN-AS-cachar,Cachar,Assam,level-2,18,17,true,census_code
IN-DL-central,Central,NCT of Delhi,level-2,7,6,true,census_code
IN-HP-chamba,Chamba,Himachal Pradesh,level-2,2,1,true,census_code
IN-UT-chamoli,Chamoli,Uttarakhand,level-2,5,2,true,census_code
IN-UT-champawat,Champawat,Uttarakhand,level-2,5,10,true,census_code
IN-MZ-champhai,Champhai,Mizoram,level-2,15,4,true,census_code
IN-KA-chamrajnagar,Chamrajnagar,Karnataka,level-2,29,24,true,census_code
IN-UP-chandauli,Chandauli,Uttar Pradesh,level-2,9,65,true,census_code
IN-MN-chandel,Chandel,Manipur,level-2,14,9,true,census_code
IN-CH-chandigarh,Chandigarh,Chandigarh,level-2,4,1,true,census_code
IN-MH-chandrapur,Chandrapur,Maharashtra,level-2,27,13,true,census_code
IN-AR-changlang,Changlang,Arunanchal Pradesh,level-2,12,9,true,census_code
IN-JH-chatra,Chatra,Jharkhand,level-2,20,2,true,census_code
IN-TN-chennai,Chennai,Tamil Nadu,level-2,33,2,true,census_code
IN-MP-chhatarpur,Chhatarpur,Madhya Pradesh,level-2,23,8,true,census_code
IN-MP-chhindwara,Chhindwara,Madhya Pradesh,level-2,23,38,true,census_code
IN-KA-chikkaballapura,Chikkaballapura,Karnataka,level-2,29,28,true,census_code
IN-KA-chikmagalur,Chikmagalur,Karnataka,level-2,29,16,true,census_code
