admin_unit_code,sector,indicator_key,indicator_label,coverage_pct,deficit_pct,source,year
IN-AP-adilabad,health,pct_births_non_institutional,Births not delivered in a health facility,94.1,5.9,NFHS-5,2021
IN-AP-adilabad,education,pct_females_never_attended_school,Females age 6+ who never attended school,58.6,41.4,NFHS-5,2021
IN-AP-adilabad,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,50.8,49.2,NFHS-5,2021
IN-AP-adilabad,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,95.7,4.3,NFHS-5,2021
IN-AP-adilabad,electricity,pct_households_no_electricity,Households without an electricity connection,99.2,0.8,NFHS-5,2021
IN-AP-anantapur,health,pct_births_non_institutional,Births not delivered in a health facility,94.7,5.3,NFHS-5,2021
IN-AP-anantapur,education,pct_females_never_attended_school,Females age 6+ who never attended school,59.5,40.5,NFHS-5,2021
IN-AP-anantapur,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,71.3,28.7,NFHS-5,2021
IN-AP-anantapur,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,98.8,1.2,NFHS-5,2021
IN-AP-anantapur,electricity,pct_households_no_electricity,Households without an electricity connection,99.6,0.4,NFHS-5,2021
IN-AP-chittoor,health,pct_births_non_institutional,Births not delivered in a health facility,97.1,2.9,NFHS-5,2021
IN-AP-chittoor,education,pct_females_never_attended_school,Females age 6+ who never attended school,65.6,34.4,NFHS-5,2021
IN-AP-chittoor,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,74.6,25.4,NFHS-5,2021
IN-AP-chittoor,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,98.5,1.5,NFHS-5,2021
IN-AP-chittoor,electricity,pct_households_no_electricity,Households without an electricity connection,99.7,0.3,NFHS-5,2021
IN-AP-east-godavari,health,pct_births_non_institutional,Births not delivered in a health facility,96.6,3.4,NFHS-5,2021
IN-AP-east-godavari,education,pct_females_never_attended_school,Females age 6+ who never attended school,75.4,24.6,NFHS-5,2021
IN-AP-east-godavari,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,77.7,22.3,NFHS-5,2021
IN-AP-east-godavari,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,97.9,2.1,NFHS-5,2021
IN-AP-east-godavari,electricity,pct_households_no_electricity,Households without an electricity connection,98.8,1.2,NFHS-5,2021
IN-AP-guntur,health,pct_births_non_institutional,Births not delivered in a health facility,98.6,1.4,NFHS-5,2021
IN-AP-guntur,education,pct_females_never_attended_school,Females age 6+ who never attended school,64.9,35.1,NFHS-5,2021
IN-AP-guntur,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,83.4,16.6,NFHS-5,2021
IN-AP-guntur,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.3,0.7,NFHS-5,2021
IN-AP-guntur,electricity,pct_households_no_electricity,Households without an electricity connection,99.2,0.8,NFHS-5,2021
IN-AP-hyderabad,health,pct_births_non_institutional,Births not delivered in a health facility,98.3,1.7,NFHS-5,2021
IN-AP-hyderabad,education,pct_females_never_attended_school,Females age 6+ who never attended school,80.3,19.7,NFHS-5,2021
IN-AP-hyderabad,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,84.4,15.6,NFHS-5,2021
IN-AP-hyderabad,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.6,0.4,NFHS-5,2021
IN-AP-hyderabad,electricity,pct_households_no_electricity,Households without an electricity connection,99.9,0.1,NFHS-5,2021
IN-AP-karimnagar,health,pct_births_non_institutional,Births not delivered in a health facility,98.4,1.6,NFHS-5,2021
IN-AP-karimnagar,education,pct_females_never_attended_school,Females age 6+ who never attended school,63.6,36.4,NFHS-5,2021
IN-AP-karimnagar,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,78.8,21.2,NFHS-5,2021
IN-AP-karimnagar,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,98.3,1.7,NFHS-5,2021
IN-AP-karimnagar,electricity,pct_households_no_electricity,Households without an electricity connection,99.7,0.3,NFHS-5,2021
