admin_unit_code,pct_women_10yr_schooling,pct_households_with_electricity,capacity_raw,connectivity,source,year
IN-AP-adilabad,41.0,99.2,64.28,0.4697,NFHS-5,2021
IN-AP-anantapur,31.3,99.6,58.62,0.3644,NFHS-5,2021
IN-AP-chittoor,40.3,99.7,64.06,0.4656,NFHS-5,2021
IN-AP-east-godavari,43.2,98.8,65.44,0.4913,NFHS-5,2021
IN-AP-guntur,32.6,99.2,59.24,0.376,NFHS-5,2021
IN-AP-hyderabad,63.2,99.9,77.88,0.7226,NFHS-5,2021
IN-AP-karimnagar,50.8,99.7,70.36,0.5827,NFHS-5,2021
IN-AP-khammam,40.9,99.7,64.42,0.4723,NFHS-5,2021
IN-AP-krishna,46.2,99.6,67.56,0.5307,NFHS-5,2021
IN-AP-kurnool,33.4,99.9,60.0,0.3901,NFHS-5,2021
IN-AP-mahbubnagar,40.4,99.4,64.0,0.4645,NFHS-5,2021
IN-AP-medak,39.3,99.4,63.34,0.4522,NFHS-5,2021
IN-AP-nalgonda,40.9,99.9,64.5,0.4738,NFHS-5,2021
IN-AP-nizamabad,42.4,99.9,65.4,0.4905,NFHS-5,2021
IN-AP-prakasam,34.5,99.3,60.42,0.3979,NFHS-5,2021
IN-AP-rangareddi,51.4,99.7,70.72,0.5894,NFHS-5,2021
IN-AP-srikakulam,42.5,99.9,65.46,0.4916,NFHS-5,2021
IN-AP-vishakhapatnam,46.0,99.6,67.44,0.5284,NFHS-5,2021
IN-AP-vizianagaram,37.6,99.5,62.36,0.434,NFHS-5,2021
IN-AP-west-godavari,46.5,99.3,67.62,0.5318,NFHS-5,2021
IN-AR-changlang,30.5,95.2,56.38,0.3228,NFHS-5,2021
IN-AR-east-kameng,31.8,86.3,53.6,0.2711,NFHS-5,2021
IN-AR-east-siang,55.6,97.3,72.28,0.6184,NFHS-5,2021
IN-AR-kurung-kumey,34.7,99.2,60.5,0.3994,NFHS-5,2021
IN-AR-lohit,37.3,98.9,61.94,0.4262,NFHS-5,2021
IN-AR-lower-dibang-valley,51.9,84.4,64.9,0.4812,NFHS-5,2021
IN-AR-lower-subansiri,49.9,97.8,69.06,0.5586,NFHS-5,2021
IN-AR-papum-pare,50.5,98.7,69.78,0.572,NFHS-5,2021
IN-AR-tawang,39.2,99.7,63.4,0.4533,NFHS-5,2021
IN-AR-tirap,40.2,98.8,63.64,0.4578,NFHS-5,2021
IN-AR-upper-siang,34.8,99.5,60.68,0.4028,NFHS-5,2021
IN-AR-upper-subansiri,31.8,87.0,53.88,0.2763,NFHS-5,2021
IN-AR-west-kameng,43.6,97.5,65.16,0.4861,NFHS-5,2021
IN-AR-west-siang,46.3,88.2,63.06,0.447,NFHS-5,2021
IN-AS-barpeta,31.7,88.9,54.58,0.2893,NFHS-5,2021
IN-AS-bongaigaon,28.6,97.0,55.96,0.315,NFHS-5,2021
IN-AS-cachar,25.8,81.7,48.16,0.17,NFHS-5,2021
IN-AS-darrang,27.5,89.5,52.3,0.2469,NFHS-5,2021
IN-AS-dhemaji,43.6,95.0,64.16,0.4675,NFHS-5,2021
IN-AS-dhuburi,20.4,92.5,49.24,0.19,NFHS-5,2021
IN-AS-dibrugarh,33.7,94.4,57.98,0.3525,NFHS-5,2021
IN-AS-goalpara,23.4,89.6,49.88,0.2019,NFHS-5,2021
IN-AS-golaghat,27.9,96.4,55.3,0.3027,NFHS-5,2021
IN-AS-hailakandi,25.3,91.2,51.66,0.235,NFHS-5,2021
IN-AS-jorhat,42.9,95.1,63.78,0.4604,NFHS-5,2021
IN-AS-kamrup,39.2,94.8,61.44,0.4169,NFHS-5,2021
IN-AS-karbi-anglong,30.3,97.0,56.98,0.334,NFHS-5,2021
IN-AS-karimganj,19.6,87.1,46.6,0.1409,NFHS-5,2021
IN-AS-kokrajhar,27.5,93.9,54.06,0.2797,NFHS-5,2021
IN-AS-lakhimpur,42.1,97.2,64.14,0.4671,NFHS-5,2021
IN-AS-marigaon,24.5,89.5,50.5,0.2135,NFHS-5,2021
IN-AS-nagaon,22.1,94.5,51.06,0.2239,NFHS-5,2021
IN-AS-nalbari,41.6,94.7,62.84,0.4429,NFHS-5,2021
IN-AS-sonitpur,24.3,88.2,49.86,0.2016,NFHS-5,2021
IN-AS-tinsukia,25.6,95.7,53.64,0.2718,NFHS-5,2021
IN-BR-araria,16.8,96.2,48.56,0.1774,NFHS-5,2021
IN-BR-aurangabad,36.9,97.7,61.22,0.4128,NFHS-5,2021
IN-BR-banka,22.6,96.2,52.04,0.2421,NFHS-5,2021
IN-BR-begusarai,34.1,96.2,58.94,0.3704,NFHS-5,2021
IN-BR-bhagalpur,35.1,94.5,58.86,0.3689,NFHS-5,2021
IN-BR-bhojpur,34.6,97.9,59.92,0.3886,NFHS-5,2021
IN-BR-buxar,33.3,98.5,59.38,0.3786,NFHS-5,2021
IN-BR-darbhanga,22.7,97.2,52.5,0.2507,NFHS-5,2021
IN-BR-gaya,30.7,97.9,57.58,0.3451,NFHS-5,2021
IN-BR-gopalganj,32.9,96.2,58.22,0.357,NFHS-5,2021
IN-BR-jamui,20.6,97.9,51.52,0.2324,NFHS-5,2021
IN-BR-jehanabad,30.5,99.3,58.02,0.3533,NFHS-5,2021
IN-BR-katihar,19.8,92.0,48.68,0.1796,NFHS-5,2021
IN-BR-khagaria,26.6,94.5,53.76,0.2741,NFHS-5,2021
IN-BR-kishanganj,15.0,95.8,47.32,0.1543,NFHS-5,2021
IN-BR-lakhisarai,30.0,98.0,57.2,0.338,NFHS-5,2021
IN-BR-madhepura,23.2,97.0,52.72,0.2547,NFHS-5,2021
IN-BR-madhubani,26.5,98.6,55.34,0.3035,NFHS-5,2021
IN-BR-munger,44.4,98.4,66.0,0.5017,NFHS-5,2021
IN-BR-muzaffarpur,33.8,96.6,58.92,0.37,NFHS-5,2021
IN-BR-nalanda,28.8,98.9,56.84,0.3313,NFHS-5,2021
IN-BR-nawada,37.3,97.4,61.34,0.415,NFHS-5,2021
IN-BR-pashchim-champaran,21.6,93.5,50.36,0.2109,NFHS-5,2021
IN-BR-patna,43.6,99.0,65.76,0.4972,NFHS-5,2021
IN-BR-purba-champaran,20.1,94.8,49.98,0.2038,NFHS-5,2021
IN-BR-purnia,19.2,92.4,48.48,0.1759,NFHS-5,2021
IN-BR-rohtas,42.6,98.5,64.96,0.4823,NFHS-5,2021
IN-BR-saharsa,20.9,97.2,51.42,0.2306,NFHS-5,2021
IN-BR-samastipur,26.5,95.7,54.18,0.2819,NFHS-5,2021
IN-BR-saran,35.5,93.6,58.74,0.3667,NFHS-5,2021
IN-BR-sheikhpura,28.3,97.3,55.9,0.3139,NFHS-5,2021
IN-BR-sheohar,21.0,97.6,51.64,0.2347,NFHS-5,2021
IN-BR-sitamarhi,19.2,93.1,48.76,0.1811,NFHS-5,2021
IN-BR-siwan,38.9,95.3,61.46,0.4173,NFHS-5,2021
IN-BR-supaul,16.2,97.3,48.64,0.1789,NFHS-5,2021
IN-BR-vaishali,34.0,96.5,59.0,0.3715,NFHS-5,2021
IN-CH-chandigarh,59.6,99.9,75.72,0.6824,NFHS-5,2021
IN-CT-bastar,25.3,96.8,53.9,0.2767,NFHS-5,2021
IN-CT-bilaspur,37.4,98.6,61.88,0.4251,NFHS-5,2021
IN-CT-dantewada,24.2,95.9,52.88,0.2577,NFHS-5,2021
IN-CT-dhamtari,40.9,99.9,64.5,0.4738,NFHS-5,2021
IN-CT-durg,52.7,99.6,71.46,0.6032,NFHS-5,2021
IN-CT-janjgir-champa,37.3,99.5,62.18,0.4306,NFHS-5,2021
IN-CT-jashpur,34.9,98.2,60.22,0.3942,NFHS-5,2021
IN-CT-korba,37.1,97.9,61.42,0.4165,NFHS-5,2021
IN-CT-koriya,37.0,97.6,61.24,0.4132,NFHS-5,2021
IN-CT-mahasamund,31.2,98.4,58.08,0.3544,NFHS-5,2021
IN-CT-raigarh,38.3,99.0,62.58,0.4381,NFHS-5,2021
IN-CT-raipur,40.1,99.5,63.86,0.4619,NFHS-5,2021
IN-CT-raj-nandgaon,38.9,99.3,63.06,0.447,NFHS-5,2021
IN-CT-surguja,37.7,99.3,62.34,0.4336,NFHS-5,2021
IN-GA-north-goa,72.0,100.0,83.2,0.8215,NFHS-5,2021
IN-GA-south-goa,70.9,100.0,82.54,0.8092,NFHS-5,2021
IN-GJ-ahmadabad,42.7,99.5,65.42,0.4909,NFHS-5,2021
IN-GJ-amreli,27.2,99.6,56.16,0.3187,NFHS-5,2021
IN-GJ-anand,32.2,98.0,58.52,0.3626,NFHS-5,2021
IN-GJ-banas-kantha,17.6,91.1,47.0,0.1484,NFHS-5,2021
IN-GJ-bharuch,31.5,98.2,58.18,0.3563,NFHS-5,2021
IN-GJ-bhavnagar,26.3,96.9,54.54,0.2886,NFHS-5,2021
IN-GJ-dahod,23.1,89.3,49.58,0.1964,NFHS-5,2021
IN-GJ-gandhinagar,37.9,97.8,61.86,0.4247,NFHS-5,2021
IN-GJ-jamnagar,35.3,98.9,60.74,0.4039,NFHS-5,2021
IN-GJ-junagadh,35.0,99.3,60.72,0.4035,NFHS-5,2021
IN-GJ-kachchh,24.1,99.2,54.14,0.2811,NFHS-5,2021
IN-GJ-kheda,24.2,96.9,53.28,0.2652,NFHS-5,2021
IN-GJ-mahesana,32.6,97.7,58.64,0.3648,NFHS-5,2021
IN-GJ-narmada,22.6,92.7,50.64,0.2161,NFHS-5,2021
IN-GJ-navsari,47.7,98.7,68.1,0.5407,NFHS-5,2021
IN-GJ-panch-mahals,28.4,95.5,55.24,0.3016,NFHS-5,2021
IN-GJ-patan,22.6,98.3,52.88,0.2577,NFHS-5,2021
IN-GJ-porbandar,35.9,99.8,61.46,0.4173,NFHS-5,2021
IN-GJ-rajkot,42.6,99.6,65.4,0.4905,NFHS-5,2021
IN-GJ-sabar-kantha,31.1,95.3,56.78,0.3302,NFHS-5,2021
IN-GJ-surat,44.0,99.3,66.12,0.5039,NFHS-5,2021
IN-GJ-surendranagar,23.3,99.4,53.74,0.2737,NFHS-5,2021
IN-GJ-the-dangs,20.7,95.9,50.78,0.2187,NFHS-5,2021
IN-GJ-vadodara,46.4,97.3,66.76,0.5158,NFHS-5,2021
IN-GJ-valsad,45.6,98.6,66.8,0.5165,NFHS-5,2021
IN-HP-bilaspur,64.2,100.0,78.52,0.7345,NFHS-5,2021
IN-HP-chamba,50.9,99.1,70.18,0.5794,NFHS-5,2021
IN-HP-hamirpur,76.1,99.7,85.54,0.865,NFHS-5,2021
IN-HP-kangra,69.9,99.7,81.82,0.7958,NFHS-5,2021
IN-HP-kinnaur,56.1,99.6,73.5,0.6411,NFHS-5,2021
IN-HP-kullu,54.4,99.2,72.32,0.6192,NFHS-5,2021
IN-HP-lahul-and-spiti,55.9,99.8,73.46,0.6404,NFHS-5,2021
IN-HP-mandi,71.8,99.5,82.88,0.8155,NFHS-5,2021
IN-HP-shimla,69.7,100.0,81.82,0.7958,NFHS-5,2021
IN-HP-sirmaur,55.6,99.2,73.04,0.6326,NFHS-5,2021
IN-HP-solan,62.3,99.2,77.06,0.7073,NFHS-5,2021
IN-HP-una,66.8,98.5,79.48,0.7523,NFHS-5,2021
IN-HR-ambala,55.3,99.6,73.02,0.6322,NFHS-5,2021
IN-HR-bhiwani,47.0,100.0,68.2,0.5426,NFHS-5,2021
IN-HR-faridabad,55.6,100.0,73.36,0.6385,NFHS-5,2021
IN-HR-fatehabad,41.5,99.8,64.82,0.4797,NFHS-5,2021
IN-HR-gurgaon,59.6,99.4,75.52,0.6787,NFHS-5,2021
IN-HR-hisar,43.9,99.7,66.22,0.5058,NFHS-5,2021
IN-HR-jhajjar,62.7,99.8,77.54,0.7163,NFHS-5,2021
IN-HR-jind,45.3,100.0,67.18,0.5236,NFHS-5,2021
IN-HR-kaithal,45.9,100.0,67.54,0.5303,NFHS-5,2021
IN-HR-karnal,46.8,99.2,67.76,0.5344,NFHS-5,2021
IN-HR-kurukshetra,48.4,99.6,68.88,0.5552,NFHS-5,2021
IN-HR-mahendragarh,52.4,99.6,71.28,0.5999,NFHS-5,2021
IN-HR-panchkula,60.3,99.5,75.98,0.6872,NFHS-5,2021
IN-HR-panipat,52.1,99.6,71.1,0.5965,NFHS-5,2021
IN-HR-rewari,58.7,100.0,75.22,0.6731,NFHS-5,2021
IN-HR-rohtak,55.9,99.7,73.42,0.6396,NFHS-5,2021
IN-HR-sirsa,44.7,99.9,66.78,0.5162,NFHS-5,2021
IN-HR-yamuna-nagar,51.2,99.8,70.64,0.588,NFHS-5,2021
IN-JH-bokaro,45.0,97.3,65.92,0.5002,NFHS-5,2021
IN-JH-chatra,27.7,92.1,53.46,0.2685,NFHS-5,2021
IN-JH-deoghar,19.7,95.6,50.06,0.2053,NFHS-5,2021
IN-JH-dhanbad,37.9,98.5,62.14,0.4299,NFHS-5,2021
IN-JH-dumka,19.1,93.2,48.74,0.1807,NFHS-5,2021
IN-JH-garhwa,31.0,85.0,52.6,0.2525,NFHS-5,2021
IN-JH-giridih,25.0,96.5,53.6,0.2711,NFHS-5,2021
IN-JH-godda,19.6,93.5,49.16,0.1885,NFHS-5,2021
IN-JH-gumla,33.3,89.1,55.62,0.3087,NFHS-5,2021
IN-JH-hazaribag,40.1,98.2,63.34,0.4522,NFHS-5,2021
IN-JH-jamtara,21.4,92.2,49.72,0.199,NFHS-5,2021
IN-JH-latehar,26.5,89.0,51.5,0.2321,NFHS-5,2021
IN-JH-lohardaga,35.0,99.2,60.68,0.4028,NFHS-5,2021
IN-JH-pakur,13.6,91.7,44.84,0.1082,NFHS-5,2021
IN-JH-palamu,36.5,95.8,60.22,0.3942,NFHS-5,2021
IN-JH-pashchim-singhbhum,22.9,83.3,47.06,0.1495,NFHS-5,2021
IN-JH-purba-singhbhum,46.8,95.7,66.36,0.5084,NFHS-5,2021
IN-JH-ranchi,49.5,99.3,69.42,0.5653,NFHS-5,2021
IN-JH-sahibganj,36.0,93.5,59.0,0.3715,NFHS-5,2021
IN-JH-simdega,29.7,84.1,51.46,0.2313,NFHS-5,2021
IN-JK-doda,46.8,99.6,67.92,0.5374,NFHS-5,2021
IN-JK-jammu,70.8,100.0,82.48,0.8081,NFHS-5,2021
IN-JK-kargil,50.3,99.1,69.82,0.5727,NFHS-5,2021
IN-JK-kathua,64.9,99.7,78.82,0.7401,NFHS-5,2021
IN-JK-pulwama,49.4,99.1,69.28,0.5627,NFHS-5,2021
IN-JK-punch,46.8,99.7,67.96,0.5381,NFHS-5,2021
IN-JK-srinagar,60.5,100.0,76.3,0.6932,NFHS-5,2021
IN-JK-udhampur,43.7,99.9,66.18,0.505,NFHS-5,2021
IN-KA-bagalkot,37.7,98.9,62.18,0.4306,NFHS-5,2021
IN-KA-bangalore-rural,56.3,99.2,73.46,0.6404,NFHS-5,2021
IN-KA-belgaum,47.8,99.1,68.32,0.5448,NFHS-5,2021
IN-KA-bellary,39.9,98.9,63.5,0.4552,NFHS-5,2021
IN-KA-bidar,45.0,98.8,66.52,0.5113,NFHS-5,2021
IN-KA-bijapur,37.1,97.6,61.3,0.4143,NFHS-5,2021
IN-KA-chamrajnagar,41.7,98.7,64.5,0.4738,NFHS-5,2021
IN-KA-chikmagalur,48.3,99.3,68.7,0.5519,NFHS-5,2021
IN-KA-chitradurga,48.3,99.8,68.9,0.5556,NFHS-5,2021
IN-KA-dakshin-kannad,62.8,99.8,77.6,0.7174,NFHS-5,2021
IN-KA-davanagere,47.1,98.8,67.78,0.5348,NFHS-5,2021
IN-KA-dharwad,51.4,99.4,70.6,0.5872,NFHS-5,2021
IN-KA-gadag,45.1,98.6,66.5,0.511,NFHS-5,2021
IN-KA-gulbarga,42.0,99.4,64.96,0.4823,NFHS-5,2021
IN-KA-hassan,51.3,99.3,70.5,0.5853,NFHS-5,2021
IN-KA-haveri,40.0,99.1,63.64,0.4578,NFHS-5,2021
IN-KA-kodagu,58.9,98.7,74.82,0.6657,NFHS-5,2021
IN-KA-kolar,55.0,99.5,72.8,0.6281,NFHS-5,2021
IN-KA-koppal,34.4,99.2,60.32,0.3961,NFHS-5,2021
IN-KA-mandya,52.5,98.4,70.86,0.592,NFHS-5,2021
IN-KA-mysore,49.6,99.5,69.56,0.5679,NFHS-5,2021
IN-KA-raichur,31.7,99.7,58.9,0.3697,NFHS-5,2021
