admin_unit_code,population,source,match_method
IN-AN-nicobar,36842,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AN-south-andaman,238142,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-adilabad,2741239,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-chittoor,4174064,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-east-godavari,5154296,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-guntur,4887813,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-hyderabad,3943323,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-karimnagar,3776269,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-khammam,2797370,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-krishna,4517398,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-kurnool,4053463,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-medak,3033288,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-nalgonda,3488809,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-nizamabad,2551335,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-prakasam,3397448,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-rangareddy,5296741,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-sri-potti-sriramulu-nellore,2963557,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-srikakulam,2703114,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-visakhapatnam,4290589,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-vizianagaram,2344474,Census 2011 via Wikidata (CC0),exact_state_district
IN-AP-warangal,3512576,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AP-west-godavari,3936966,Census 2011 via Wikidata (CC0),exact_state_district
IN-AR-anjaw,21167,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-changlang,148226,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-east-kameng,78690,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-east-siang,99214,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-kurung-kumey,92076,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-lohit,145726,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-lower-dibang-valley,54080,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-lower-subansiri,83030,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-papum-pare,176573,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-tawang,49977,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-tirap,111975,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-upper-siang,35320,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-upper-subansiri,83448,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-west-kameng,83947,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AR-west-siang,112274,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-baksa,950075,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-barpeta,1693622,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-bongaigaon,738804,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-cachar,1736617,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-chirang,482162,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-darrang,928500,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-dhemaji,686133,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-dhubri,1949258,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-dibrugarh,1326335,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-dima-hasao,214102,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-goalpara,1008183,Census 2011 via Wikidata (CC0),district_unique_nationally
IN-AS-golaghat,1066888,Census 2011 via Wikidata (CC0),district_unique_nationally
