admin_unit_code,censuscode,villages_total,villages_recorded,villages_without,deficit_pct,recorded_pct,indicator_key,indicator_label,source,year
IN-JK-kupwara,1,362,351,152,43.3,97.0,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-badgam,2,474,451,198,43.9,95.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-leh-ladakh,3,112,111,45,40.5,99.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-kargil,4,127,125,83,66.4,98.4,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-punch,5,178,170,31,18.2,95.5,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-rajouri,6,385,374,171,45.7,97.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-kathua,7,512,496,257,51.8,96.9,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-baramula,8,518,505,254,50.3,97.5,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-bandipore,9,122,116,73,62.9,95.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-ganderbal,11,115,111,31,27.9,96.5,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-pulwama,12,329,319,111,34.8,97.0,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-shupiyan,13,229,225,101,44.9,98.3,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-anantnag,14,342,334,67,20.1,97.7,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-kulgam,15,231,226,84,37.2,97.8,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-doda,16,406,402,337,83.8,99.0,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-ramban,17,129,126,93,73.8,97.7,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-kishtwar,18,157,154,135,87.7,98.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-udhampur,19,331,324,173,53.4,97.9,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-reasi,20,255,252,171,67.9,98.8,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-jammu,21,852,780,141,18.1,91.5,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-JK-samba,22,376,345,53,15.4,91.8,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-chamba,23,1591,1110,627,56.5,69.8,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-kangra,24,3869,3617,1077,29.8,93.5,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-lahul-spiti,25,521,280,143,51.1,53.7,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-kullu,26,326,314,127,40.4,96.3,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-mandi,27,3338,2850,1603,56.2,85.4,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-hamirpur,28,1725,1671,356,21.3,96.9,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-una,29,848,790,103,13.0,93.2,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-bilaspur,30,1061,953,236,24.8,89.8,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-solan,31,2544,2383,1183,49.6,93.7,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-sirmaur,32,976,968,614,63.4,99.2,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-shimla,33,3231,2705,1763,65.2,83.7,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-HP-kinnaur,34,660,241,145,60.2,36.5,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-gurdaspur,35,1595,1515,177,11.7,95.0,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-kapurthala,36,688,612,57,9.3,89.0,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-jalandhar,37,941,922,0,0.0,98.0,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-hoshiarpur,38,1416,1385,107,7.7,97.8,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-shahid-bhagat-singh-nagar,39,468,458,0,0.0,97.9,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-fatehgarh-sahib,40,446,442,25,5.7,99.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-ludhiana,41,907,885,42,4.7,97.6,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-moga,42,325,319,44,13.8,98.2,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-firozpur,43,1000,955,0,0.0,95.5,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-muktsar,44,234,233,16,6.9,99.6,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-faridkot,45,171,163,11,6.7,95.3,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-bathinda,46,281,279,27,9.7,99.3,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-mansa,47,240,238,10,4.2,99.2,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-patiala,48,912,895,148,16.5,98.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-amritsar,49,739,703,66,9.4,95.1,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-tarn-taran,50,489,479,51,10.6,98.0,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-rupnagar,51,611,591,7,1.2,96.7,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-sahibzada-ajit-singh-nagar,52,419,403,0,0.0,96.2,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
IN-PB-sangrur,53,571,564,46,8.2,98.8,pct_villages_no_pucca_road,Villages without a black-topped (pucca) road,Census 2011 Village Directory,2011
